样本编号,标签标准差,特征平均波动
2,7.70445,39691956.0
3,8.445021,35844084.0
5,8.192662,28516660.0
8,6.326829,39865504.0
9,12.335902,59434984.0
14,4.295683,70745440.0
15,11.881775,85202400.0
16,4.515478,27199672.0
18,6.1571283,28834872.0
20,7.379291,41049744.0
21,6.8101325,45066600.0
22,15.773252,41994616.0
25,8.090886,36828530.0
26,11.423971,57871884.0
28,7.423839,34479412.0
31,4.9904914,35652228.0
33,11.4075,79771816.0
34,6.111032,30553392.0
36,4.8777747,35439668.0
37,2.041553,45242220.0
38,7.3658133,61355016.0
39,3.5415368,23593240.0
41,3.3600159,21847234.0
43,4.167639,101975220.0
45,4.033033,34728644.0
51,4.7616553,30214854.0
52,10.978905,79362760.0
53,11.726839,61056948.0
55,8.423127,72315630.0
57,8.089492,84727440.0
58,4.585969,73713380.0
59,5.9286056,53599244.0
60,3.0540457,33706224.0
62,6.3332214,74731440.0
64,17.098116,74360440.0
65,9.795907,20677576.0
66,1.7730397,22864852.0
67,12.281517,46599750.0
70,7.373636,44857828.0
71,4.747033,32276906.0
72,3.4193506,23779578.0
74,4.2013764,108146870.0
75,2.5174663,101811020.0
76,9.046201,60879744.0
77,2.7393923,40316748.0
78,3.6354322,21489128.0
79,3.468236,27510930.0
80,3.2018194,37953610.0
81,12.152828,65367396.0
82,6.889997,27518226.0
83,7.8012652,36724988.0
84,8.933226,23268194.0
86,7.212395,31908328.0
87,5.6990128,28335102.0
89,2.6536424,28083622.0
98,6.0352077,34676524.0
99,14.042182,66494308.0
102,4.08618,27453478.0
103,2.4845262,45915936.0
105,3.770229,66035680.0
106,2.4667468,26104046.0
108,5.874751,26855104.0
114,5.375785,39709212.0
116,10.984838,37189420.0
117,6.105331,36120420.0
121,10.0013275,35637360.0
122,9.051378,45896090.0
127,4.4650955,21295642.0
131,5.648209,24963720.0
134,8.149596,62475960.0
136,6.8013606,30124830.0
138,10.084062,32528680.0
139,11.04531,101901000.0
140,11.941772,44784724.0
145,8.288338,44986050.0
146,5.130072,62989164.0
149,5.397846,44949364.0
153,3.8835022,29304230.0
155,6.6687584,48630960.0
156,3.2275949,36675896.0
157,1.5854447,32431156.0
160,8.457752,33713948.0
163,4.7999825,110093224.0
164,2.9947367,38261530.0
165,2.9137254,24183756.0
167,10.635051,51875270.0
168,2.1741245,34348750.0
169,7.747328,30160294.0
170,12.219758,81976200.0
171,11.227409,24205180.0
174,6.4422626,36597584.0
179,8.261196,85840030.0
180,8.396446,85230936.0
181,2.9194539,23717440.0
184,4.927681,44815144.0
187,5.468608,23095260.0
189,8.946526,45955530.0
191,5.540215,21021058.0
192,6.0340514,25075700.0
195,5.5314517,54723284.0
197,3.9290607,46805150.0
199,7.5718265,59860730.0
200,4.450378,52420500.0
204,2.2459114,38945896.0
205,2.3092947,31784608.0
207,5.315736,25227690.0
209,8.999593,28830602.0
210,9.704392,42214190.0
211,5.412854,71642590.0
215,3.1642559,27537858.0
216,3.3049226,63912460.0
217,2.604446,28527512.0
218,10.075317,69540360.0
220,2.8355417,26665542.0
221,5.204161,33936690.0
223,3.6401618,23000886.0
224,11.658946,43387596.0
225,2.3761282,24177898.0
226,5.6168976,27027022.0
227,6.432853,76338250.0
228,5.2450786,35977332.0
229,4.446197,21974304.0
231,2.5235095,39218260.0
233,3.962753,52246080.0
234,5.4583054,89110024.0
235,2.891444,21714440.0
238,5.6976533,30663564.0
239,2.390763,25980220.0
240,5.4306493,59605156.0
241,23.514887,64847110.0
242,4.0968704,44032980.0
245,6.4474335,21312044.0
248,2.8555434,54646800.0
252,13.827227,37128070.0
253,11.650701,38547004.0
255,3.4821935,31770372.0
258,8.241959,79540504.0
259,9.073784,22394270.0
261,8.176912,49114390.0
263,6.7132015,20752996.0
264,4.42666,26990260.0
265,3.454797,34389840.0
269,3.6429062,32301988.0
271,13.0130005,80126030.0
273,3.2897682,28430576.0
275,5.0109534,80109280.0
