样本编号,标签标准差,特征平均波动
1,2.5566053,549104.2
4,9.420801,15472887.0
10,4.2290826,10948493.0
12,2.5841296,1031236.4
13,9.527883,8731233.0
17,5.4327846,11011894.0
19,7.280569,10652725.0
24,2.2346668,941707.9
27,4.725322,18417194.0
29,2.8033214,7197122.5
30,2.2618697,932267.6
32,9.169875,7778215.0
42,6.690714,1976723.8
44,2.3337402,1049918.6
46,5.765838,8394688.0
48,2.2593522,956989.75
49,2.786648,941029.3
50,2.285137,952875.0
54,5.117287,18478550.0
56,5.2516947,18826524.0
61,2.127535,19821258.0
63,3.3624375,8307864.5
73,5.6772265,7036949.0
85,2.8991487,988197.8
88,8.564286,6623960.5
90,2.518154,917094.56
91,2.8484485,921814.06
92,2.4605217,852140.44
93,2.1257796,1020999.7
94,9.823269,10125284.0
95,7.6358027,17714964.0
96,9.58252,7629162.5
97,2.0839615,970156.9
100,3.0035303,944035.56
101,6.191626,7403684.5
104,2.7073672,1027239.8
107,1.1234689,4682745.0
109,1.0309466,7163418.0
111,6.4440994,10797774.0
112,1.4352193,7025147.0
113,8.353219,8382380.0
115,2.3858714,1069535.0
118,4.888834,4337526.0
119,1.4963073,9379823.0
123,2.3155472,958236.5
124,2.811453,6034335.5
126,3.4844108,12830549.0
128,1.5660043,5587931.5
129,2.6187367,1011439.25
130,2.3686745,898337.25
133,4.860164,5133425.5
135,1.9866045,16859950.0
141,4.1550703,11520202.0
142,3.6994786,10832820.0
147,4.915469,10090824.0
150,2.6569395,13996590.0
151,2.4979506,911525.7
154,3.182154,13248988.0
158,2.8780353,982364.56
159,3.7265246,7509188.5
161,1.0927117,8450890.0
162,8.033626,3493504.0
166,4.5011554,7445328.5
172,2.3038788,1007273.0
175,2.944166,15453832.0
177,2.720652,896290.44
178,5.6260056,16174396.0
182,7.02983,7482489.0
183,3.8033595,9425403.0
185,1.4388689,7344077.0
188,1.6144437,6865364.0
190,1.2482386,6659330.0
193,1.5405184,8342471.5
194,3.488934,7346530.0
196,2.8996067,9159244.0
198,1.95249,8255397.5
201,4.7408633,6341528.0
202,4.695205,11078164.0
203,2.5403023,5716348.5
206,2.4256804,13819073.0
208,5.7164288,2621978.5
212,3.5716052,6945645.5
213,3.3158593,7119600.0
214,2.823849,6688892.0
219,3.929849,6459998.0
222,5.6033998,11866411.0
230,4.377225,10811588.0
232,6.1708546,9218393.0
236,6.2266517,9221069.0
237,8.40482,15979792.0
243,2.977127,10254706.0
244,3.635771,4791217.0
246,4.1662,10898721.0
247,1.4647263,8001071.0
249,1.3749123,9307312.0
250,8.211648,11405900.0
251,1.9877121,9330233.0
254,6.4527607,8534519.0
256,4.801903,7244008.0
257,3.0883996,13583717.0
260,7.5682635,7507814.0
262,7.9207387,9386000.0
266,5.6166368,10567133.0
267,2.2162983,12858597.0
268,2.1070921,15910421.0
270,2.3943884,8241895.5
272,2.0756824,18331308.0
274,4.356906,7885287.0
278,6.8587255,8390892.0
279,8.718023,14155920.0
280,2.319971,18901728.0
281,2.713345,19229796.0
284,6.036073,9033898.0
288,3.1865964,14861462.0
290,5.9222345,6215217.5
292,7.849749,12905680.0
300,3.1630247,11810686.0
301,3.4957962,5896727.5
307,1.8917341,7605208.0
308,6.111998,16109773.0
312,1.6260972,8692246.0
315,8.25855,18004472.0
316,5.1445518,7392440.0
320,7.665433,6881282.0
322,3.8929353,11007698.0
323,4.856752,12426259.0
325,9.20064,14844172.0
328,3.0432956,8919050.0
332,4.7624826,12279091.0
333,3.751938,15183015.0
335,3.8898616,18211438.0
342,8.029173,9172674.0
343,8.461911,18743056.0
348,4.946525,12530443.0
349,6.3096333,19870906.0
351,3.6482158,17072854.0
354,6.4154587,6993843.0
356,3.6881206,6298096.5
357,2.8652587,6510601.5
358,4.7512264,6097019.0
359,2.1056466,19120660.0
360,3.419826,19472778.0
361,5.6712875,6820013.5
366,5.7495723,10760614.0
367,2.543049,6505287.0
369,6.4795685,9255767.0
370,1.6842839,7770803.0
376,3.3462493,14207555.0
378,10.047693,17236920.0
379,5.0455956,19361146.0
381,4.5592113,11468493.0
383,2.7062442,5833725.5
388,4.863001,10862002.0
390,7.052848,5822950.5
392,6.0221906,19928720.0
395,3.5777166,5427674.0
398,1.6151907,12578747.0
401,3.6703985,5149673.0
406,2.419946,12006786.0
408,4.691363,4832814.0
409,4.751471,10319107.0
410,4.678682,14337169.0
414,6.9142675,8348327.5
418,10.478748,15615509.0
421,6.303101,15457828.0
424,6.63968,17509616.0
425,3.594918,7520241.0
430,4.6750445,17466312.0
432,4.145452,14795914.0
433,4.7880006,7309099.5
434,4.874618,11055267.0
436,5.4208364,7613391.5
440,4.414627,5378033.0
443,4.3976636,19123296.0
444,4.138696,11388071.0
445,7.002255,12436688.0
448,5.5264263,15263344.0
449,3.801956,6089992.5
451,2.6037765,9958458.0
452,8.780574,8337265.5
456,2.1654754,9096242.0
459,3.9080248,16599316.0
460,3.5248466,11391003.0
461,3.2816663,5884788.5
462,2.1696293,12457472.0
464,1.8413966,9168775.0
465,2.9679744,10593114.0
466,5.83754,15842671.0
468,6.2376313,11290288.0
470,3.424929,11546705.0
474,4.715821,11010383.0
476,3.0936487,4034768.2
477,3.9976022,8063364.0
478,9.045808,19380982.0
480,3.4384105,9088238.0
483,5.400481,13865756.0
484,4.520171,4813066.0
485,7.635802,4620291.5
486,6.0111322,7194380.0
487,7.313561,10990612.0
490,2.249661,7968342.0
492,1.4526888,14273181.0
494,1.959557,15961008.0
495,4.1774883,15368961.0
496,5.178553,5607528.0
497,5.0481257,11405939.0
498,3.8696134,11866802.0
500,5.0181074,8477046.0
501,6.0561075,7897204.0
502,2.0374794,18256314.0
503,3.2203393,16281205.0
504,7.6324086,9879951.0
505,4.5168962,18920446.0
506,5.1866097,13855586.0
509,2.3666732,15790332.0
511,2.6969104,12899922.0
513,1.9757473,5225907.5
514,3.3407104,10785957.0
516,4.189747,9397716.0
517,10.321798,17412168.0
520,2.0097508,5778071.0
523,2.7815485,3697943.0
527,6.7249837,10531317.0
531,4.4847937,9316947.0
532,6.017076,9341945.0
541,5.7001586,7676713.5
542,4.368673,6776938.5
543,4.4289184,13444403.0
549,3.6354663,19296900.0
550,7.243711,9712193.0
553,7.177518,8099391.0
555,2.171671,6987392.0
556,7.294383,18046268.0
558,1.6461195,5178056.0
563,4.625183,19019014.0
564,6.1885147,15836259.0
565,3.6426258,6201463.5
566,4.8360543,5064489.0
571,6.9340615,8467121.0
573,1.2767273,18953194.0
574,8.06085,14071566.0
575,4.0480356,8010271.0
576,9.023337,12598036.0
578,5.005161,12824461.0
579,2.2538126,6044371.5
590,1.5959086,18491196.0
594,6.2173853,11698350.0
595,6.2495,8091904.5
596,3.2810936,15547757.0
601,2.4621148,19455656.0
603,7.0342636,7642831.0
605,3.6567445,3608241.5
612,4.6040535,18871624.0
613,4.9998493,7364111.5
615,4.524823,16948710.0
621,3.3365445,18848164.0
623,2.3387694,7141253.0
625,7.574189,5896356.0
631,2.9433365,9380186.0
636,7.5259976,11221404.0
640,11.787156,15152676.0
641,8.005167,15115421.0
642,6.391533,5636832.0
644,4.869359,18729254.0
650,2.6436272,18738120.0
652,3.8323407,17984710.0
653,9.26632,10033485.0
655,5.207452,19808970.0
663,4.0958834,10779717.0
665,6.088231,17698670.0
668,3.6776893,7076637.5
669,6.071079,9029970.0
670,9.726781,18932870.0
672,4.7046223,9394698.0
675,8.732836,11817471.0
676,4.028872,9344018.0
678,6.525816,6991477.5
681,6.729888,7097814.5
682,6.146015,4300522.5
683,5.309392,8297424.5
685,2.259455,991314.9
691,2.9983075,6621207.5
692,9.693704,16652996.0
699,6.3149753,14565423.0
703,5.1899734,19091728.0
704,5.0184336,15459590.0
705,4.075315,7054779.0
714,8.875756,5845241.5
715,2.343811,949329.3
720,6.7813187,12971447.0
722,5.2038608,5926202.0
723,3.2418659,18986470.0
727,3.9654603,11128508.0
738,5.94707,19708530.0
742,3.529092,18931874.0
745,4.1833434,14694161.0
747,2.6028016,888824.5
748,2.7069733,857604.75
749,2.0151603,11046481.0
750,1.3501618,8311310.0
751,8.971613,12814980.0
756,5.467976,5374784.5
761,12.509579,11705952.0
762,5.9831986,7722656.5
763,7.3793674,11312132.0
764,7.162781,10810611.0
765,4.926219,10466875.0
766,6.0866623,13574390.0
770,3.329731,14340689.0
778,4.781505,18531702.0
779,1.4005975,2884316.8
782,1.2846135,3943287.2
786,4.5123596,7929245.5
787,4.1145935,8449684.0
788,4.434193,4243282.0
790,5.668363,18730344.0
801,3.073761,6042194.0
802,5.4699864,9650909.0
803,4.563611,3873184.2
807,1.047993,15376936.0
808,2.5999227,966241.2
813,2.3038516,12639812.0
814,3.9910498,8326001.0
829,3.4689643,18003848.0
834,2.557148,13936416.0
842,2.5158114,971172.1
844,4.1802454,8092803.5
848,2.2802207,10767925.0
852,5.5032306,12250873.0
853,10.624321,14996603.0
854,3.4459708,4883715.0
855,5.4572883,8549091.0
872,5.223265,13964725.0
876,6.856614,19041076.0
885,4.8384733,4201884.5
886,2.4013538,1070376.2
887,5.2579875,7252654.0
891,5.120947,6507049.0
892,5.818092,13934109.0
893,4.7928867,10086936.0
894,3.1081488,4081390.5
906,3.6633189,6143873.5
908,1.8651048,7522422.5
912,3.7555203,7071591.5
916,2.6369474,13019147.0
918,11.09589,11395378.0
920,3.7676773,6923687.5
925,9.021118,11425932.0
928,6.317464,14723023.0
929,12.733717,18315798.0
930,8.128512,18985506.0
934,10.581357,15988140.0
937,8.596036,14074784.0
939,2.3062558,12695988.0
940,11.985128,16777786.0
945,5.1227703,7324791.5
946,1.3972734,6637655.0
954,3.3896375,6188793.5
971,4.112287,12539571.0
979,5.2521076,18923746.0
981,4.144479,10907659.0
984,6.1514835,5485057.5
985,3.5474012,14285091.0
989,16.352598,19070938.0
991,4.66665,9015332.0
997,4.513695,7795476.5
1000,9.316269,5970527.5
1004,8.143023,15515375.0
1005,4.7940097,8539131.0
1009,4.5121064,3309843.2
1013,6.9583735,9364342.0
1016,3.0521114,19900692.0
1017,2.4301052,4628245.5
1020,2.1486819,7031591.5
1024,4.6211376,10783751.0
1027,6.9499145,8888577.0
1028,2.650126,17222206.0
1030,2.7640398,561262.25
1031,2.4270153,616838.4
1036,2.4913065,10729481.0
1037,6.236011,7783363.0
1038,2.6897888,8829147.0
1039,7.3068004,7029117.5
1040,2.621033,13229808.0
1041,4.316533,18620786.0
1045,6.1136947,13197365.0
1048,4.299585,17907674.0
1050,6.7297835,16647992.0
1051,2.2306833,8410591.0
1053,3.5336525,10842209.0
1055,3.8836377,7768130.0
1057,3.19385,7683372.0
1058,4.1896596,6920658.5
1059,10.742356,14078652.0
1060,7.9474063,9029163.0
1062,2.5727081,687921.94
1063,5.7212677,10492980.0
1066,5.638403,16021518.0
1071,4.942839,17821162.0
1074,9.395918,15255728.0
1075,4.155493,12601579.0
1079,8.555907,2220968.2
1081,1.962698,18540226.0
1084,4.095052,11446816.0
1087,5.5250134,18615572.0
1089,3.8700829,9518848.0
1091,1.9978348,6083915.0
1092,5.2641144,8752764.0
1094,3.0331817,7649481.5
1096,7.730938,11969762.0
1097,3.3377311,5533329.5
1102,5.7889466,13734373.0
1103,1.2191316,19505356.0
1104,6.7265496,19675396.0
1106,3.0117695,12390294.0
1108,4.4409223,18507914.0
1111,5.339742,11860773.0
1114,2.4872565,18790208.0
1115,2.7282605,579875.7
1119,15.430106,10994931.0
1122,3.641126,14723460.0
1126,10.418615,11327079.0
1128,5.8738027,15489475.0
1129,9.628356,11793079.0
1131,3.7937474,6395664.5
1134,9.079956,19980978.0
1135,7.9738636,15917214.0
1147,4.47913,17687612.0
1151,5.3775425,12107743.0
1154,9.268542,11090351.0
1155,2.9683979,16585449.0
1156,5.4489665,6168725.5
1159,2.4011555,660274.44
1166,4.389256,7709983.0
1168,3.706598,8387249.5
1169,13.287935,13733954.0
1171,3.3257499,14133415.0
1173,11.131606,18282168.0
1174,13.0497875,10759234.0
1181,9.66887,16713274.0
1185,1.9899876,639687.44
1186,5.7607307,19916482.0
1190,34.291767,18133296.0
1191,6.260684,7048865.0
1192,2.9611201,9253242.0
1194,4.993337,7498803.5
1202,4.944383,13250007.0
1203,7.829208,17166086.0
1205,10.379682,19858300.0
1206,2.5813575,12786915.0
1208,2.2789688,735277.56
1212,6.3580165,13539595.0
1214,2.1887836,15327896.0
1218,4.539628,4584604.5
1221,7.5465937,18994474.0
1225,2.277063,600441.44
1226,2.5265121,626310.6
1241,5.049924,6741977.5
1242,12.119367,7491249.5
1243,7.5514894,9242853.0
1251,5.6017976,10980582.0
1254,8.640257,14965104.0
1255,6.6649613,19861744.0
1261,2.1042106,9164638.0
1263,7.858237,8668992.0
1267,4.977142,11458428.0
1268,3.8875573,13634723.0
1272,2.8627682,10580945.0
1273,5.9431405,11803704.0
1275,5.6523066,12670641.0
1276,5.5244327,13392837.0
1277,7.0661798,6310968.0
1278,3.5004184,5679032.0
1279,7.924106,7417082.5
1283,2.6342788,16390610.0
1287,2.89496,19552812.0
1288,12.116169,9415435.0
1289,1.7641047,19118926.0
1293,6.0767546,15135076.0
1300,2.8982034,9588690.0
1303,4.564026,9639775.0
1306,4.714566,9617509.0
1307,1.5952963,11108202.0
1308,4.7067947,16203256.0
1309,10.45459,15528588.0
1310,7.3613143,15111003.0
1311,5.8711963,15330793.0
1312,7.349419,14502782.0
1313,4.7023,7933719.0
1314,1.7683419,17338594.0
1325,2.9706266,655114.25
1327,2.238391,392395.1
1334,3.2057054,8653233.0
1340,8.951298,19977182.0
1341,5.601726,16340010.0
1343,8.412512,12914038.0
1344,2.6258976,14712276.0
1346,4.5429716,6220952.0
1348,1.6035912,6252862.5
1350,4.8043857,9815232.0
1351,3.5958571,11258296.0
1353,3.282091,12097747.0
1355,14.24551,15072255.0
1364,2.5669959,585421.2
1365,2.8142521,663161.5
1366,2.494328,706586.6
1367,1.4659767,12226951.0
1368,9.627114,6410612.5
1369,4.7874527,5670737.0
1377,1.344603,8003143.5
1387,8.46101,18468924.0
1388,8.687182,11495618.0
1389,9.562214,12933644.0
1396,2.3471231,344206.88
1398,2.7072814,647142.56
1402,2.7252617,635817.9
1403,2.7023337,552869.56
1404,1.1287459,11348720.0
1405,1.639129,7289416.5
1406,5.9311557,11562701.0
1409,2.536555,19495498.0
1413,8.346376,11516983.0
1414,1.4453814,7243840.5
1417,7.6992507,11131478.0
1420,4.124609,7013822.5
1421,4.1912804,17678328.0
1422,8.7289295,17075212.0
1426,3.3704035,7149015.0
1429,2.2509754,631890.75
1435,2.1615083,12368732.0
1436,5.6410694,14922633.0
1437,5.435758,7160945.5
1438,2.2868462,7488331.5
1439,2.4129744,10515764.0
1440,2.9462783,627117.75
1441,1.7657009,543412.06
1442,2.900386,612429.9
1450,1.9992143,653496.75
1455,8.498705,13036415.0
1456,8.534079,4290121.5
1458,4.0805497,5824885.0
1460,2.8463578,3527283.5
