样本编号,标签标准差,特征平均波动
1,2.5566053,549104.2
2,7.70445,39691956.0
3,8.445021,35844084.0
4,9.420801,15472887.0
5,8.192662,28516660.0
6,0.18488552,943992.56
7,0.26457292,1056558.4
8,6.326829,39865504.0
9,12.335902,59434984.0
10,4.2290826,10948493.0
11,0.47380644,910254.56
12,2.5841296,1031236.4
13,9.527883,8731233.0
14,4.295683,70745440.0
15,11.881775,85202400.0
16,4.515478,27199672.0
17,5.4327846,11011894.0
18,6.1571283,28834872.0
19,7.280569,10652725.0
20,7.379291,41049744.0
21,6.8101325,45066600.0
22,15.773252,41994616.0
23,0.63263625,8669147.0
24,2.2346668,941707.9
25,8.090886,36828530.0
26,11.423971,57871884.0
27,4.725322,18417194.0
28,7.423839,34479412.0
29,2.8033214,7197122.5
30,2.2618697,932267.6
31,4.9904914,35652228.0
32,9.169875,7778215.0
33,11.4075,79771816.0
34,6.111032,30553392.0
35,0.57469195,955269.7
36,4.8777747,35439668.0
37,2.041553,45242220.0
38,7.3658133,61355016.0
39,3.5415368,23593240.0
40,0.6865856,29002342.0
41,3.3600159,21847234.0
42,6.690714,1976723.8
43,4.167639,101975220.0
44,2.3337402,1049918.6
45,4.033033,34728644.0
46,5.765838,8394688.0
47,0.1364782,912027.75
48,2.2593522,956989.75
49,2.786648,941029.3
50,2.285137,952875.0
51,4.7616553,30214854.0
52,10.978905,79362760.0
53,11.726839,61056948.0
54,5.117287,18478550.0
55,8.423127,72315630.0
56,5.2516947,18826524.0
57,8.089492,84727440.0
58,4.585969,73713380.0
59,5.9286056,53599244.0
60,3.0540457,33706224.0
61,2.127535,19821258.0
62,6.3332214,74731440.0
63,3.3624375,8307864.5
64,17.098116,74360440.0
65,9.795907,20677576.0
66,1.7730397,22864852.0
67,12.281517,46599750.0
68,0.33410305,858425.44
69,0.39337108,854677.94
70,7.373636,44857828.0
71,4.747033,32276906.0
72,3.4193506,23779578.0
73,5.6772265,7036949.0
74,4.2013764,108146870.0
75,2.5174663,101811020.0
76,9.046201,60879744.0
77,2.7393923,40316748.0
78,3.6354322,21489128.0
79,3.468236,27510930.0
80,3.2018194,37953610.0
81,12.152828,65367396.0
82,6.889997,27518226.0
83,7.8012652,36724988.0
84,8.933226,23268194.0
85,2.8991487,988197.8
86,7.212395,31908328.0
87,5.6990128,28335102.0
88,8.564286,6623960.5
89,2.6536424,28083622.0
90,2.518154,917094.56
91,2.8484485,921814.06
92,2.4605217,852140.44
93,2.1257796,1020999.7
94,9.823269,10125284.0
95,7.6358027,17714964.0
96,9.58252,7629162.5
97,2.0839615,970156.9
98,6.0352077,34676524.0
99,14.042182,66494308.0
100,3.0035303,944035.56
101,6.191626,7403684.5
102,4.08618,27453478.0
103,2.4845262,45915936.0
104,2.7073672,1027239.8
105,3.770229,66035680.0
106,2.4667468,26104046.0
107,1.1234689,4682745.0
108,5.874751,26855104.0
109,1.0309466,7163418.0
110,0.46164247,1025692.7
111,6.4440994,10797774.0
112,1.4352193,7025147.0
113,8.353219,8382380.0
114,5.375785,39709212.0
115,2.3858714,1069535.0
116,10.984838,37189420.0
117,6.105331,36120420.0
118,4.888834,4337526.0
119,1.4963073,9379823.0
120,0.3770424,937118.2
121,10.0013275,35637360.0
122,9.051378,45896090.0
123,2.3155472,958236.5
124,2.811453,6034335.5
125,0.3569093,1008292.8
126,3.4844108,12830549.0
127,4.4650955,21295642.0
128,1.5660043,5587931.5
129,2.6187367,1011439.25
130,2.3686745,898337.25
131,5.648209,24963720.0
132,0.35061428,981128.9
133,4.860164,5133425.5
134,8.149596,62475960.0
135,1.9866045,16859950.0
136,6.8013606,30124830.0
137,0.18670094,1008501.75
138,10.084062,32528680.0
139,11.04531,101901000.0
140,11.941772,44784724.0
141,4.1550703,11520202.0
142,3.6994786,10832820.0
143,0.17057754,1064997.8
144,0.3823133,932996.25
145,8.288338,44986050.0
146,5.130072,62989164.0
147,4.915469,10090824.0
148,0.844907,31958370.0
149,5.397846,44949364.0
150,2.6569395,13996590.0
151,2.4979506,911525.7
152,0.17376052,962821.2
153,3.8835022,29304230.0
154,3.182154,13248988.0
155,6.6687584,48630960.0
156,3.2275949,36675896.0
157,1.5854447,32431156.0
158,2.8780353,982364.56
159,3.7265246,7509188.5
160,8.457752,33713948.0
161,1.0927117,8450890.0
162,8.033626,3493504.0
163,4.7999825,110093224.0
164,2.9947367,38261530.0
165,2.9137254,24183756.0
166,4.5011554,7445328.5
167,10.635051,51875270.0
168,2.1741245,34348750.0
169,7.747328,30160294.0
170,12.219758,81976200.0
171,11.227409,24205180.0
172,2.3038788,1007273.0
173,0.43893138,1010492.0
174,6.4422626,36597584.0
175,2.944166,15453832.0
176,0.18189189,1019709.0
177,2.720652,896290.44
178,5.6260056,16174396.0
179,8.261196,85840030.0
180,8.396446,85230936.0
181,2.9194539,23717440.0
182,7.02983,7482489.0
183,3.8033595,9425403.0
184,4.927681,44815144.0
185,1.4388689,7344077.0
186,0.5694259,30242848.0
187,5.468608,23095260.0
188,1.6144437,6865364.0
189,8.946526,45955530.0
190,1.2482386,6659330.0
191,5.540215,21021058.0
192,6.0340514,25075700.0
193,1.5405184,8342471.5
194,3.488934,7346530.0
195,5.5314517,54723284.0
196,2.8996067,9159244.0
197,3.9290607,46805150.0
198,1.95249,8255397.5
199,7.5718265,59860730.0
200,4.450378,52420500.0
201,4.7408633,6341528.0
202,4.695205,11078164.0
203,2.5403023,5716348.5
204,2.2459114,38945896.0
205,2.3092947,31784608.0
206,2.4256804,13819073.0
207,5.315736,25227690.0
208,5.7164288,2621978.5
209,8.999593,28830602.0
210,9.704392,42214190.0
211,5.412854,71642590.0
212,3.5716052,6945645.5
213,3.3158593,7119600.0
214,2.823849,6688892.0
215,3.1642559,27537858.0
216,3.3049226,63912460.0
217,2.604446,28527512.0
218,10.075317,69540360.0
219,3.929849,6459998.0
220,2.8355417,26665542.0
221,5.204161,33936690.0
222,5.6033998,11866411.0
223,3.6401618,23000886.0
224,11.658946,43387596.0
225,2.3761282,24177898.0
226,5.6168976,27027022.0
227,6.432853,76338250.0
228,5.2450786,35977332.0
229,4.446197,21974304.0
230,4.377225,10811588.0
231,2.5235095,39218260.0
232,6.1708546,9218393.0
233,3.962753,52246080.0
234,5.4583054,89110024.0
235,2.891444,21714440.0
236,6.2266517,9221069.0
237,8.40482,15979792.0
238,5.6976533,30663564.0
239,2.390763,25980220.0
240,5.4306493,59605156.0
241,23.514887,64847110.0
242,4.0968704,44032980.0
243,2.977127,10254706.0
244,3.635771,4791217.0
245,6.4474335,21312044.0
246,4.1662,10898721.0
247,1.4647263,8001071.0
248,2.8555434,54646800.0
249,1.3749123,9307312.0
250,8.211648,11405900.0
251,1.9877121,9330233.0
252,13.827227,37128070.0
253,11.650701,38547004.0
254,6.4527607,8534519.0
255,3.4821935,31770372.0
256,4.801903,7244008.0
257,3.0883996,13583717.0
258,8.241959,79540504.0
259,9.073784,22394270.0
260,7.5682635,7507814.0
261,8.176912,49114390.0
262,7.9207387,9386000.0
263,6.7132015,20752996.0
264,4.42666,26990260.0
265,3.454797,34389840.0
266,5.6166368,10567133.0
267,2.2162983,12858597.0
268,2.1070921,15910421.0
269,3.6429062,32301988.0
270,2.3943884,8241895.5
271,13.0130005,80126030.0
272,2.0756824,18331308.0
273,3.2897682,28430576.0
274,4.356906,7885287.0
275,5.0109534,80109280.0
276,2.34024,21604038.0
277,2.6440547,28528752.0
278,6.8587255,8390892.0
279,8.718023,14155920.0
280,2.319971,18901728.0
281,2.713345,19229796.0
282,5.445975,40420530.0
283,0.53889656,35774540.0
284,6.036073,9033898.0
285,4.91184,31363566.0
286,5.5343404,35488612.0
287,3.9391289,29487554.0
288,3.1865964,14861462.0
289,5.316573,25029190.0
290,5.9222345,6215217.5
291,6.197717,89831944.0
292,7.849749,12905680.0
293,4.1943913,36069056.0
294,4.1120644,32208282.0
295,4.9368815,22425662.0
296,7.142673,25321264.0
297,12.38783,59990070.0
298,2.5456197,21486222.0
299,6.411777,35935280.0
300,3.1630247,11810686.0
301,3.4957962,5896727.5
302,3.88707,31385540.0
303,4.746499,29007326.0
304,0.969385,22749610.0
305,3.7054858,24364712.0
306,2.3913255,39545530.0
307,1.8917341,7605208.0
308,6.111998,16109773.0
309,12.314825,62207890.0
310,2.5271804,44859270.0
311,10.525063,57050356.0
312,1.6260972,8692246.0
313,3.6482413,46761100.0
314,3.1124916,32244016.0
315,8.25855,18004472.0
316,5.1445518,7392440.0
317,1.9228495,35378364.0
318,7.214215,25566592.0
319,6.0788593,23561368.0
320,7.665433,6881282.0
321,8.328408,28208848.0
322,3.8929353,11007698.0
323,4.856752,12426259.0
324,6.1348643,22167976.0
325,9.20064,14844172.0
326,3.2305496,36203670.0
327,6.235185,45416910.0
328,3.0432956,8919050.0
329,3.3220692,43515452.0
330,5.0351396,21861854.0
331,3.3197594,33874580.0
332,4.7624826,12279091.0
333,3.751938,15183015.0
334,5.97633,42923470.0
335,3.8898616,18211438.0
336,2.400059,32930340.0
337,1.0817226,40536284.0
338,7.497148,50549370.0
339,7.616599,38744630.0
340,3.6885958,25409488.0
341,4.817039,26824034.0
342,8.029173,9172674.0
343,8.461911,18743056.0
344,5.789058,35039476.0
345,3.4885972,37043004.0
346,5.157606,39262770.0
347,6.4849076,44070030.0
348,4.946525,12530443.0
349,6.3096333,19870906.0
350,9.589856,46771636.0
351,3.6482158,17072854.0
352,1.5241997,28816546.0
353,1.7821772,29640288.0
354,6.4154587,6993843.0
355,4.752705,35149732.0
356,3.6881206,6298096.5
357,2.8652587,6510601.5
358,4.7512264,6097019.0
359,2.1056466,19120660.0
360,3.419826,19472778.0
361,5.6712875,6820013.5
362,2.2070432,44528090.0
363,4.095847,23811576.0
364,5.3577833,31806480.0
365,6.351529,21192514.0
366,5.7495723,10760614.0
367,2.543049,6505287.0
368,3.4989333,40352144.0
369,6.4795685,9255767.0
370,1.6842839,7770803.0
371,1.813816,23712076.0
372,10.036298,37483470.0
373,3.8238132,41612856.0
374,6.8518133,28136064.0
375,4.020463,24937764.0
376,3.3462493,14207555.0
377,7.3795285,22479440.0
378,10.047693,17236920.0
379,5.0455956,19361146.0
380,4.4309654,28330022.0
381,4.5592113,11468493.0
382,5.6806464,35856160.0
383,2.7062442,5833725.5
384,6.4792495,28756460.0
385,5.7579846,25364802.0
386,1.1593325,34703068.0
387,8.5384035,28685904.0
388,4.863001,10862002.0
389,8.677228,40653960.0
390,7.052848,5822950.5
391,8.491327,38582836.0
392,6.0221906,19928720.0
393,4.0122776,20602762.0
394,4.431311,32114202.0
395,3.5777166,5427674.0
396,7.2841616,22093388.0
397,5.3323607,41171680.0
398,1.6151907,12578747.0
399,6.407218,28779722.0
400,5.095923,28078712.0
401,3.6703985,5149673.0
402,3.0294979,34497216.0
403,2.7917032,23089680.0
404,9.091451,36997240.0
405,3.2422235,46190028.0
406,2.419946,12006786.0
407,3.3630414,31347166.0
408,4.691363,4832814.0
409,4.751471,10319107.0
410,4.678682,14337169.0
411,9.155055,35989956.0
412,0.70044273,29048540.0
413,11.534053,28573334.0
414,6.9142675,8348327.5
415,3.0976994,35756060.0
416,6.5608234,24648226.0
417,7.1613092,28931908.0
418,10.478748,15615509.0
419,3.2871158,32369828.0
420,9.464038,25123764.0
421,6.303101,15457828.0
422,7.764385,40257096.0
423,4.528499,34727396.0
424,6.63968,17509616.0
425,3.594918,7520241.0
426,2.9110427,20482174.0
427,4.5906744,25375626.0
428,9.759637,52163580.0
429,5.521756,30785638.0
430,4.6750445,17466312.0
431,3.6147122,46593270.0
432,4.145452,14795914.0
433,4.7880006,7309099.5
434,4.874618,11055267.0
435,6.00748,36869144.0
436,5.4208364,7613391.5
437,13.17277,32963354.0
438,4.6588817,23044770.0
439,9.185148,30215890.0
440,4.414627,5378033.0
441,3.6061904,42541750.0
442,1.8724312,32888786.0
443,4.3976636,19123296.0
444,4.138696,11388071.0
445,7.002255,12436688.0
446,5.9604855,31358824.0
447,0.5228684,40851200.0
448,5.5264263,15263344.0
449,3.801956,6089992.5
450,3.4497252,31726284.0
451,2.6037765,9958458.0
452,8.780574,8337265.5
453,9.565921,45527160.0
454,1.7296,27910522.0
455,6.0033965,21668324.0
456,2.1654754,9096242.0
457,5.0275583,43138244.0
458,9.159038,21697458.0
459,3.9080248,16599316.0
460,3.5248466,11391003.0
461,3.2816663,5884788.5
462,2.1696293,12457472.0
463,10.058215,42154824.0
464,1.8413966,9168775.0
465,2.9679744,10593114.0
466,5.83754,15842671.0
467,2.4302397,41074308.0
468,6.2376313,11290288.0
469,3.9012911,57619784.0
470,3.424929,11546705.0
471,5.5858393,24675494.0
472,3.0600114,45306340.0
473,2.3050504,20225112.0
474,4.715821,11010383.0
475,2.9512384,38873020.0
476,3.0936487,4034768.2
477,3.9976022,8063364.0
478,9.045808,19380982.0
479,6.169976,27230706.0
480,3.4384105,9088238.0
481,4.088519,44742796.0
482,2.0223546,35264144.0
483,5.400481,13865756.0
484,4.520171,4813066.0
485,7.635802,4620291.5
486,6.0111322,7194380.0
487,7.313561,10990612.0
488,6.5680237,24189732.0
489,3.2357535,47825044.0
490,2.249661,7968342.0
491,2.8079796,30286982.0
492,1.4526888,14273181.0
493,2.0988047,38392772.0
494,1.959557,15961008.0
495,4.1774883,15368961.0
496,5.178553,5607528.0
497,5.0481257,11405939.0
498,3.8696134,11866802.0
499,4.9141097,25078004.0
500,5.0181074,8477046.0
501,6.0561075,7897204.0
502,2.0374794,18256314.0
503,3.2203393,16281205.0
504,7.6324086,9879951.0
505,4.5168962,18920446.0
506,5.1866097,13855586.0
507,4.927899,28857268.0
508,2.2715404,25280480.0
509,2.3666732,15790332.0
510,7.648711,20972800.0
511,2.6969104,12899922.0
512,5.676707,33950676.0
513,1.9757473,5225907.5
514,3.3407104,10785957.0
515,1.9974103,27744236.0
516,4.189747,9397716.0
517,10.321798,17412168.0
518,3.0086455,28376464.0
519,4.5301843,30396234.0
520,2.0097508,5778071.0
521,3.408655,21080572.0
522,4.327654,27016602.0
523,2.7815485,3697943.0
524,5.8761134,21488272.0
525,12.6181755,43764440.0
526,4.2426233,32862848.0
527,6.7249837,10531317.0
528,1.2537885,28877654.0
529,3.5847504,39607510.0
530,4.741873,24141962.0
531,4.4847937,9316947.0
532,6.017076,9341945.0
533,7.324365,28041144.0
534,3.0039737,37351428.0
535,8.675588,26951460.0
536,2.0946958,31489892.0
537,3.0644166,33456958.0
538,4.0273285,36776572.0
539,5.0221124,30893516.0
540,3.1288118,34931604.0
541,5.7001586,7676713.5
542,4.368673,6776938.5
543,4.4289184,13444403.0
544,3.6538136,30727152.0
545,1.9844365,28021900.0
546,2.6517622,26191912.0
547,2.4526231,48063424.0
548,5.217749,30684342.0
549,3.6354663,19296900.0
550,7.243711,9712193.0
551,3.0062842,44808720.0
552,8.4535,20758644.0
553,7.177518,8099391.0
554,8.841545,41024796.0
555,2.171671,6987392.0
556,7.294383,18046268.0
557,8.470374,35793584.0
558,1.6461195,5178056.0
559,6.58774,40239972.0
560,0.78947985,42208324.0
561,3.251714,32414200.0
562,8.3906975,26467316.0
563,4.625183,19019014.0
564,6.1885147,15836259.0
565,3.6426258,6201463.5
566,4.8360543,5064489.0
567,2.7195334,25074668.0
568,3.3051922,32511652.0
569,5.9854927,32049110.0
570,0.5257755,46516610.0
571,6.9340615,8467121.0
572,10.906133,28241104.0
573,1.2767273,18953194.0
574,8.06085,14071566.0
575,4.0480356,8010271.0
576,9.023337,12598036.0
577,3.2023792,26850598.0
578,5.005161,12824461.0
579,2.2538126,6044371.5
580,4.396109,27538564.0
581,9.380738,24474718.0
582,2.717658,34529380.0
583,5.5180964,27594226.0
584,3.3692818,43911356.0
585,5.5045676,46409750.0
586,4.9308467,26963420.0
587,4.934039,27926800.0
588,4.3470726,28409634.0
589,2.4979098,36998800.0
590,1.5959086,18491196.0
591,9.336051,23678094.0
592,3.8786118,20834592.0
593,3.9155097,27571336.0
594,6.2173853,11698350.0
595,6.2495,8091904.5
596,3.2810936,15547757.0
597,7.1416163,36697120.0
598,4.355245,31144436.0
599,3.574261,20854436.0
600,4.7834125,35469348.0
601,2.4621148,19455656.0
602,2.3582692,30569672.0
603,7.0342636,7642831.0
604,3.6938112,47487576.0
605,3.6567445,3608241.5
606,5.4757767,45175630.0
607,4.300826,25779580.0
608,1.9813755,26032082.0
609,1.8045611,26912256.0
610,7.532759,45963856.0
611,5.241838,25079614.0
612,4.6040535,18871624.0
613,4.9998493,7364111.5
614,4.559797,35733268.0
615,4.524823,16948710.0
616,4.7491655,25600726.0
617,3.0799246,20983446.0
618,3.7484992,37305124.0
619,4.5483346,38083484.0
620,8.804318,32559138.0
621,3.3365445,18848164.0
622,4.203146,26235318.0
623,2.3387694,7141253.0
624,8.934518,27723076.0
625,7.574189,5896356.0
626,11.0582,27416900.0
627,0.7456817,8485966.0
628,0.73931915,31744230.0
629,5.4890127,35024052.0
630,4.7151575,39297080.0
631,2.9433365,9380186.0
632,4.273005,26529694.0
633,1.5411555,35088164.0
634,3.3240697,44935700.0
635,3.173257,34079280.0
636,7.5259976,11221404.0
637,6.547314,50736660.0
638,7.889363,44613764.0
639,6.2007623,41988264.0
640,11.787156,15152676.0
641,8.005167,15115421.0
642,6.391533,5636832.0
643,4.16717,22455506.0
644,4.869359,18729254.0
645,4.397714,43029576.0
646,4.5874524,31034542.0
647,5.336696,29148190.0
648,3.1680515,30025418.0
649,0.87170726,29463850.0
650,2.6436272,18738120.0
651,4.3445992,27832140.0
652,3.8323407,17984710.0
653,9.26632,10033485.0
654,6.406338,38731052.0
655,5.207452,19808970.0
656,2.9609308,26863640.0
657,4.065487,34473520.0
658,7.1828237,53677056.0
659,4.2417054,25635920.0
660,6.0680795,24752280.0
661,3.6893296,27478634.0
662,4.4829917,25610186.0
663,4.0958834,10779717.0
664,6.6895614,23029742.0
665,6.088231,17698670.0
666,3.611688,24928340.0
667,3.0482414,49557860.0
668,3.6776893,7076637.5
669,6.071079,9029970.0
670,9.726781,18932870.0
671,6.987683,36082520.0
672,4.7046223,9394698.0
673,3.5792222,29031832.0
674,12.376697,23795814.0
675,8.732836,11817471.0
676,4.028872,9344018.0
677,3.9194226,26702310.0
678,6.525816,6991477.5
679,6.6312685,25845410.0
680,10.64986,39825324.0
681,6.729888,7097814.5
682,6.146015,4300522.5
683,5.309392,8297424.5
684,6.8035555,35800464.0
685,2.259455,991314.9
686,6.0420976,38368180.0
687,4.8910513,24493892.0
688,3.159489,21235618.0
689,10.625457,40875150.0
690,6.784532,81576936.0
691,2.9983075,6621207.5
692,9.693704,16652996.0
693,9.446212,33335318.0
694,9.158367,64709836.0
695,8.000353,58250684.0
696,7.7184014,65590830.0
697,6.092435,91340810.0
698,2.9562597,32232060.0
699,6.3149753,14565423.0
700,2.9029834,47208076.0
701,8.761447,37997724.0
702,0.21354777,24954904.0
703,5.1899734,19091728.0
704,5.0184336,15459590.0
705,4.075315,7054779.0
706,10.284587,37245424.0
707,6.4391556,62803824.0
708,7.4340453,61633668.0
709,0.7913471,926069.3
710,10.636623,41873492.0
711,7.039162,69695920.0
712,6.955824,83714100.0
713,11.147997,78035420.0
714,8.875756,5845241.5
715,2.343811,949329.3
716,4.0363173,34473710.0
717,5.5168657,44648990.0
718,3.4389894,28449126.0
719,5.856014,39334510.0
720,6.7813187,12971447.0
721,4.8300247,24563326.0
722,5.2038608,5926202.0
723,3.2418659,18986470.0
724,2.3837333,34745116.0
725,3.91805,27223936.0
726,2.810219,21032560.0
727,3.9654603,11128508.0
728,6.5649943,96620050.0
729,1.6604066,49921572.0
730,10.873711,47003356.0
731,3.8441727,47074936.0
732,6.131942,20657836.0
733,3.5228424,32482238.0
734,6.222371,50200784.0
735,17.262156,72940190.0
736,11.268068,41372444.0
737,3.790973,78599660.0
738,5.94707,19708530.0
739,3.1724494,28989456.0
740,3.8511386,27450418.0
741,4.6458507,25830240.0
742,3.529092,18931874.0
743,2.0638878,28355034.0
744,6.4249926,25477332.0
745,4.1833434,14694161.0
746,2.7374163,20671334.0
747,2.6028016,888824.5
748,2.7069733,857604.75
749,2.0151603,11046481.0
750,1.3501618,8311310.0
751,8.971613,12814980.0
752,6.346467,43318530.0
753,5.8036118,86670260.0
754,5.2532225,82711430.0
755,7.936935,24871360.0
756,5.467976,5374784.5
757,0.3321007,983229.8
758,2.3340938,24190372.0
759,3.8466132,48427628.0
760,2.5162146,83615660.0
761,12.509579,11705952.0
762,5.9831986,7722656.5
763,7.3793674,11312132.0
764,7.162781,10810611.0
765,4.926219,10466875.0
766,6.0866623,13574390.0
767,3.560068,54663464.0
768,3.0962565,38289220.0
769,2.0404477,82571810.0
770,3.329731,14340689.0
771,8.454501,46277250.0
772,2.6326387,21310438.0
773,8.729141,69161784.0
774,4.128433,104542330.0
775,7.7152042,23111974.0
776,9.866951,71946216.0
777,0.6219263,21974974.0
778,4.781505,18531702.0
779,1.4005975,2884316.8
780,9.423937,31247692.0
781,0.71186477,39824250.0
782,1.2846135,3943287.2
783,5.0511394,56631548.0
784,6.576225,48481160.0
785,13.814139,27936634.0
786,4.5123596,7929245.5
787,4.1145935,8449684.0
788,4.434193,4243282.0
789,4.068753,24031632.0
790,5.668363,18730344.0
791,1.5419482,24730092.0
792,2.5298352,32659540.0
793,4.295138,27061270.0
794,1.4023957,41676616.0
795,12.104829,42232492.0
796,6.353131,42519930.0
797,3.5026224,39412600.0
798,9.558492,30857888.0
799,4.47135,70152170.0
800,6.3178134,37505916.0
801,3.073761,6042194.0
802,5.4699864,9650909.0
803,4.563611,3873184.2
804,8.381414,47952110.0
805,4.5649056,55625420.0
806,12.351915,43498064.0
807,1.047993,15376936.0
808,2.5999227,966241.2
809,2.9190974,24293228.0
810,4.9534044,46084572.0
811,6.127828,48631480.0
812,2.1656785,20747198.0
813,2.3038516,12639812.0
814,3.9910498,8326001.0
815,6.4606333,42740840.0
816,4.6984377,40565850.0
817,5.2242627,55067760.0
818,7.319567,42754064.0
819,7.609077,50668270.0
820,7.116651,40092464.0
821,12.379335,58987172.0
822,10.45034,55011896.0
823,5.892526,46492550.0
824,15.2199545,57671550.0
825,10.292268,55421164.0
826,8.582456,69245430.0
827,3.9353483,88589950.0
828,5.251997,51839696.0
829,3.4689643,18003848.0
830,3.926778,33541432.0
831,5.414476,27123984.0
832,7.3351326,34775404.0
833,2.9029305,23233238.0
834,2.557148,13936416.0
835,5.316235,45234224.0
836,12.124368,43357444.0
837,6.1985507,46125980.0
838,7.293227,33122486.0
839,1.5635259,21394470.0
840,5.82927,26621494.0
841,2.676812,25620106.0
842,2.5158114,971172.1
843,8.061209,57652132.0
844,4.1802454,8092803.5
845,5.0563097,36737310.0
846,5.077566,74014450.0
847,7.1131697,42811420.0
848,2.2802207,10767925.0
849,13.966626,49332150.0
850,2.6296103,33187672.0
851,5.9708934,36313544.0
852,5.5032306,12250873.0
853,10.624321,14996603.0
854,3.4459708,4883715.0
855,5.4572883,8549091.0
856,3.3539467,22682580.0
857,1.7017783,34241344.0
858,2.00291,36145644.0
859,3.0756562,32817630.0
860,5.0986347,23000972.0
861,0.31665292,35103940.0
862,12.540576,49771896.0
863,11.780433,56588764.0
864,9.193997,68100770.0
865,7.9441752,41389016.0
866,10.291638,48269256.0
867,0.65520716,41463470.0
